OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1984-046B","SL-8 R/B","14974","CIS","104.58","82.94","1009","941","LARGE","0","1984-05-17",""
"1984-046A","COSMOS 1553","14973","CIS","104.69","82.94","1003","957","LARGE","0","1984-05-17",""
"1984-043B","SL-8 R/B","14966","CIS","104.75","82.97","995","971","LARGE","0","1984-05-11",""
"1984-043A","COSMOS 1550","14965","CIS","104.89","82.97","1007","971","LARGE","0","1984-05-11",""
"1984-031F","SL-12 R/B(2)","14951","CIS","1448.38","11.25","36086","35967","LARGE","0","1984-03-29",""
"1977-117C","SL-3 DEB","14950","CIS","102.21","81.25","890","836","SMALL","0","1977-12-14",""
"1984-022F","SL-12 R/B(2)","14948","CIS","1441.86","11.85","36008","35791","LARGE","0","1984-03-02",""
"1984-041D","SL-12 R/B(2)","14943","CIS","1460.06","11.70","36327","36182","LARGE","0","1984-04-22",""
"1984-041A","GORIZONT 9","14940","CIS","1436.14","10.91","35806","35769","LARGE","0","1984-04-22",""
"1984-037B","TITAN 34D TRANSTAGE R/B","14931","US","1423.49","10.96","35653","35425","","0","1984-04-14",""
"1984-037A","OPS 7641","14930","US","1459.28","12.26","36266","36212","","0","1984-04-14",""
"1983-075F","SL-3 DEB","14928","CIS","94.94","97.80","537","494","SMALL","0","1983-07-24",""
"1981-053JX","COSMOS 1275 DEB","14925","CIS","101.35","82.86","838","807","SMALL","0","1981-06-04",""
"1976-067BG","COSMOS 839 DEB","14919","CIS","117.04","65.81","2121","975","SMALL","0","1976-07-08",""
"1978-026GP","DELTA 1 DEB","14914","US","100.17","98.64","800","733","SMALL","0","1978-03-05",""
"1978-026GN","DELTA 1 DEB","14913","US","100.96","98.83","872","736","SMALL","0","1978-03-05",""
"1978-026GK","DELTA 1 DEB","14910","US","101.33","99.00","833","810","SMALL","0","1978-03-05",""
