OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2002-032J","NOAA 17 DEB","48168","US","100.01","98.36","775","742","SMALL","0","2002-06-24",""
"2002-032H","NOAA 17 DEB","48167","US","100.61","98.68","819","755","SMALL","0","2002-06-24",""
"2002-032G","NOAA 17 DEB","48166","US","100.83","98.75","814","782","SMALL","0","2002-06-24",""
"2002-032F","NOAA 17 DEB","48165","US","99.27","98.71","787","661","SMALL","0","2002-06-24",""
"2002-032D","NOAA 17 DEB","48163","US","99.74","98.60","809","684","SMALL","0","2002-06-24",""
"2002-032C","NOAA 17 DEB","48162","US","101.09","98.70","827","794","SMALL","0","2002-06-24",""
"2021-028B","CZ-4B R/B","48158","PRC","102.49","99.53","992","761","LARGE","0","2021-04-08",""
"2021-028A","SHIYAN 6 03 (SY-6 03)","48157","PRC","106.33","99.51","1119","994","LARGE","0","2021-04-08",""
"2021-027BM","STARLINK-2503","48151","US","95.59","53.05","549","546","MEDIUM","0","2021-04-07",""
"2021-027BL","STARLINK-2493","48150","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BK","STARLINK-2492","48149","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BJ","STARLINK-2491","48148","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BH","STARLINK-2490","48147","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027BG","STARLINK-2489","48146","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027BF","STARLINK-2488","48145","US","95.59","53.06","548","546","LARGE","0","2021-04-07",""
"2021-027BE","STARLINK-2487","48144","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BD","STARLINK-2486","48143","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BC","STARLINK-2485","48142","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027BB","STARLINK-2484","48141","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
